Item-name,Raw taps,Corrections,Answers 1,Picked correction?,Answers 2,Picked correction?,Answers 3,Picked correction?,Sum picked correction,Three picked correction,Two picked correction,One picked correction,Comments 1,Comments 2,Comments 3
001_youtube_fV4DiAyExN0,A,B,B,1,B,1,B,1,3,1,1,1,,"A rushes in the intro, then lags unevenly, by almost a beat.",
002_youtube_CvMfvuJsYmE,A,B,B,1,B,1,B,1,3,1,1,1,,the beat tracker thinks that beat 4 is beat 1 (in both),
003_youtube_tXjqKzX28LI,A,B,B,1,B,1,B,1,3,1,1,1,,,
004_youtube_IwOfCgkyEj0,A,B,B,1,B,1,B,1,3,1,1,1,,,
005_youtube_RB-RcX5DS5A,B,A,A,1,A,1,A,1,3,1,1,1,,,
006_youtube_I3gHugP6bPE,A,B,B,1,B,1,A,0,2,0,1,1,Not very constant though,"A is ""stiffer"" but mostly inaccurate (rushing or lagging), sounds like a machine that's slightly off but relentlessly clicks its own beat precisely. B is more accurate most of the time, more pleasant to listen to, stretchier, sounds more like a human, despite its unevenness in places.",
007_youtube_9QnUOrTsxXA,A,B,B,1,B,1,B,1,3,1,1,1,,,
008_youtube_bg7RjxsghNY,B,A,A,1,A,1,A,1,3,1,1,1,,Quite a big difference.,
009_youtube_hRFLv29K__o,A,B,B,1,B,1,B,1,3,1,1,1,,,
010_youtube_80tX5MLX8QY,A,B,B,1,B,1,B,1,3,1,1,1,,,
011_youtube_M7u5SdjDSQQ,B,A,A,1,A,1,A,1,3,1,1,1,,,
012_youtube_Va0vs1fhhNI,B,A,A,1,A,1,B,0,2,0,1,1,,"I'd probably click in double the time. A lags a bit, B lags more.",
013_youtube_6iGpdkgr57g,A,B,B,1,B,1,B,1,3,1,1,1,,A is quite uneven.,
014_youtube_53FGAgfYVsw,B,A,A,1,A,1,A,1,3,1,1,1,,A lags a bit but B tends to rush more.,
015_youtube_ltRgb4SJ1uk,A,B,B,1,B,1,B,1,3,1,1,1,,"A lags. B is a bit uneven, sometimes rushing but more on the spot most of the time.",
016_youtube_eelfrHtmk68,A,B,B,1,B,1,B,1,3,1,1,1,,"After a lot of deliberation, I think that B is a bit more on the spot.",
017_youtube_S6Nt1ssPLBA,A,B,B,1,B,1,B,1,3,1,1,1,,"Both somewhat uneven, A lags more.",
018_youtube_wVyggTKDcOE,A,B,A,0,B,1,A,0,1,0,0,1,This one was pretty hard,Both are a bit meh but A rushes a bit too much.,
019_youtube_jSDukB1pc30,A,B,B,1,B,1,B,1,3,1,1,1,,I'm impressed how it got the 3/4 right after that intro.,
020_youtube_0WrjMeHsfgM,B,A,A,1,A,1,A,1,3,1,1,1,,A is quite on the spot. B lags.,These guys can't sing. Ouch.
021_youtube_lzdGpNGH9BI,A,B,B,1,B,1,B,1,3,1,1,1,,"A tends to lag, B tends to rush.",
022_youtube_Z4z0LjchwOo,A,B,B,1,B,1,B,1,3,1,1,1,,Quite clearly. B sounds better to me than most (all?) other click tracks in this whole experiment so far.,
024_youtube_S4X_l8PIobc,A,B,B,1,B,1,B,1,3,1,1,1,,Quite clearly. A lags throughout. B is good. There's something to 22B and 24B — they sound much more even than the rest so far to me.,
025_youtube_8jsFGdeWNPo,B,A,A,1,A,1,A,1,3,1,1,1,,A rushes in the intro but then stays good for the rest of the track. B is off and uneven.,B was better in the parts without drums
026_youtube__X6DCz3pkYA,B,A,A,1,A,1,A,1,3,1,1,1,,"Quite clearly. B is uneven. I find 26A metronomic quality in evenness, and also a good match with track, together with 22B and 24B.",
027_youtube_iYYRH4apXDo,A,B,B,1,A,0,B,1,2,0,1,1,,"A gets confused by the transition to chorus and lags from that point on for a long time. B is off already in the verse, gets the onset of the chorus right but then veers off the track again.",
028_youtube_StFfXP4eAgU,A,B,B,1,B,1,B,1,3,1,1,1,,,
029_youtube_41TNDPn9x2Y,A,B,B,1,B,1,B,1,3,1,1,1,,Quite clearly.,
030_youtube_U8EDgciZZFc,A,B,A,0,B,1,B,1,2,0,1,1,,"Quite clearly. A lags like a proper gospel drummer. B sounds like a click track to this song; clicks consistently even through the beatless bridge, and then the band comes back in exactly on the 1.",
031_youtube_Y8R9ZPT2T-I,B,A,A,1,A,1,A,1,3,1,1,1,,,
032_youtube_zsmUOdmm02A,A,B,B,1,B,1,B,1,3,1,1,1,,Another good one.,
033_youtube_0Jj9rOwkfLM,A,B,B,1,B,1,B,1,3,1,1,1,,A starts off very nice but then gets rushy. B sounds a tiny bit laggy but is consistent about it.,
034_youtube_F6Dw6ZFmM4c,B,A,A,1,A,1,A,1,3,1,1,1,,"Can't really hear a difference. I chose A only because around 0:30, B gets one beat a bit too early while A behaves a bit more smoothly (although there's something happening there, too). Otherwise they both sound good to me.",
035_youtube_NCnT_grZvLE,B,A,A,1,A,1,B,0,2,0,1,1,Pretty hard choice,,
036_youtube__-xZYhm6QgQ,A,B,B,1,B,1,B,1,3,1,1,1,,I'd tap at 2x the time. A rushes a tiny bit. But both are quite even.,
037_youtube_VYCOg-yglNM,B,A,A,1,A,1,A,1,3,1,1,1,,"A is spot on, IMO. B rushes.",
038_youtube_eVTXPUF4Oz4,A,B,B,1,B,1,B,1,3,1,1,1,,,
039_youtube_ph9NQ8ASmX4,B,A,A,1,A,1,A,1,3,1,1,1,,Especially around 3:30.,
040_youtube_1zrxnqejwCk,B,A,A,1,A,1,A,1,3,1,1,1,The waltz itself is also not very constant :),B is uneven.,Beat 3 of the song is consistently late so a bit of an outlier song
041_youtube_Eh44QPT1mPE,A,B,B,1,B,1,B,1,3,1,1,1,,A has also strange glitches around 2:30.,
042_youtube_uBMtdaRhDMY,B,A,A,1,A+B,0,A,1,2,0,1,1,,"Both are about the same quality, IMO.",
043_youtube_CWEqbuJ6DlQ,A,B,B,1,B (+A),0,B,1,2,0,1,1,Why tapped as 12/8?,"Hats off for spotting 6/8. Both are good. I don't know how that happens but in the first bars, B does the typical piano trick of playing the first note in a bar slightly longer. Sounds awesome, although I'm unsure how accurate that is.",
044_youtube_BwKPJJxSnOE,B,A,A,1,A,1,A,1,3,1,1,1,,B rushes a bit.,
045_youtube_SYUgGs9IStY,A,B,B,1,B,1,B,1,3,1,1,1,,,
046_youtube_ebZZpVFUQDY,A,B,B,1,B,1,B,1,3,1,1,1,,"Both lag, A lags more.",
047_youtube_WNa60w5HOB4,A,B,B,1,B,1,B,1,3,1,1,1,"Weird intro though, because of this I think I'm biased towards B becuase it sounds like a computer removed some human stuff",Both get quite confused in the intro. B catches up much faster and sounds more accurate overall.,
048_youtube_B_e7QbWc5mI,B,A,A,1,A,1,A,1,3,1,1,1,,,Both wrongly detected song as 3/4 at the start
049_youtube_rSktfVJc_IM,A,B,B,1,B,1,B,1,3,1,1,1,,2nd half of both files seems to be silent.,
050_youtube_vx2u5uUu3DE,B,A,A,1,A,1,A,1,3,1,1,1,,Neither of the two is *that* good.,ITS MA LIIIIFE
051_youtube_InYVlCCEqFc,B,A,A,1,A,1,B,0,2,0,1,1,,B lags.,
052_youtube_LjffPO71TJs,B,A,A,1,A,1,A,1,3,1,1,1,,"A is uneven, B rushes.",
053_youtube_yuxchcK5Gek,B,A,A,1,A,1,A,1,3,1,1,1,,,
054_youtube_UgL4N4Hf1dk,A,B,B,1,B,1,B,1,3,1,1,1,,,"I didnt notice any substantial timing difference, but the first two beats in A were both ""1"" metronome sounds so I picked B"
055_youtube_LzLt9X4hoIE,B,A,A,1,A,1,A,1,3,1,1,1,,,
056_youtube_alYFdNGVL1E,B,A,A,1,A+B,0,A,1,2,0,1,1,,Both are good.,
057_youtube_UrN3-lDk9Rs,B,A,A,1,B,0,A,1,2,0,1,1,,Both are good. A has a small glitch around 1:18.,
058_youtube_c5dwksSbD34,A,B,B,1,A,0,B,1,2,0,1,1,,I'd click in 2x the time.  I find both quite good.,
059_youtube_-tJYN-eG1zk,A,B,B,1,B,1,A,0,2,0,1,1,,I think I'd click in 2x the time. A gets a bit more off than B.,
060_youtube_FY9v147BZuE,B,A,A,1,A,1,A,1,3,1,1,1,,Seems a tiny bit more on the spot.,
061_youtube_KlujizeNNQM,A,B,B,1,A+B,0,B,1,2,0,1,1,,Both are good. I can't tell the difference.,
062_youtube_Yi3GJEEMX4s,B,A,A,1,A,1,A,1,3,1,1,1,,,
063_youtube_uFEK4fpYOS4,A,B,B,1,B,1,B,1,3,1,1,1,,,
064_youtube_Xlv1tm2h7pY,A,B,B,1,B,1,B,1,3,1,1,1,,"Looks like the song itself speeds up slightly over time. B seems to adjust continuously, while in A, there's a noticeable pick-up in tempo somewhere around 1min, IIRC.",
065_youtube_u9Dg-g7t2l4,B,A,A,1,A,1,A,1,3,1,1,1,,A hiccups at the start and gets okay later; B is quite unstable throughout.,
066_youtube_H4BB9eGUEaE,A,B,B,1,B,1,B,1,3,1,1,1,,,
067_youtube_MbmFqUtK2aw,A,B,B,1,B,1,B,1,3,1,1,1,,A lags already in the intro.,
068_youtube_a8LcePfI6Hs,B,A,A,1,A,1,A,1,3,1,1,1,,,
069_youtube_8kl6q_9qZOs,A,B,B,1,A,0,B,1,2,0,1,1,,The song itself seems to be unsteady with tempo. Both click tracks are a bit meh.,
070_youtube_m-M1AtrxztU,B,A,A,1,A,1,A,1,3,1,1,1,,Both rush.,
071_youtube_WBQ03PXMpqY,B,A,A,1,A,1,B,0,2,0,1,1,,,
072_youtube_sABVieMgwlA,A,B,B,1,B,1,B,1,3,1,1,1,,"A is strangely uneven, beat 1 lags, beats 2+3+4 rush.",
073_youtube_qZuH-5St80A,B,A,A,1,A,1,A,1,3,1,1,1,,,
074_youtube_aBqT2qWxDL8,B,A,A,1,B,0,A,1,2,0,1,1,Very hard!,A lags.,
075_youtube_p_6F5K_xP6Q,A,B,B,1,A,0,B,1,2,0,1,1,"Very hard, both have weird parts. I keep changing between A and B","Impressed by the counting in the slow intro, makes a lot of sense. B lags.",
076_youtube_pjcOzqxu4JQ,A,B,A,0,B,1,A,0,1,0,0,1,,Both are good.,
077_youtube_g6FU3s6mbGI,A,B,B,1,B,1,B,1,3,1,1,1,,A lags.,
078_youtube_DL_uU76w5eQ,A,B,B,1,B,1,B,1,3,1,1,1,,,
079_youtube_aEW001GcS9s,B,A,A,1,A,1,A,1,3,1,1,1,,Metronomic.,
080_youtube_9z1A1R8RQZs,A,B,B,1,A,0,B,1,2,0,1,1,Difficult ,A glitches around 0:37. Hard to tell; I think that B lags more.,
081_youtube_pSdUOTuQzWQ,B,A,A,1,B,0,B,0,1,0,0,1,,Both are uneven; sound like a rushed human.,
082_youtube_M84S81FL5FY,A,B,B,1,A+B,0,B,1,2,0,1,1,,Can't tell the difference. Both are good. Probably easy song.,
083_youtube_HfUoCF3dmbU,B,A,A,1,A,1,A,1,3,1,1,1,,B is a tiny bit rushed around 2:10.,
084_youtube_zH9sXggRlxc,A,B,B,1,B,1,B,1,3,1,1,1,,,
085_youtube_KEl7WjfbnSA,A,B,B,1,B,1,B,1,3,1,1,1,,,
086_youtube_-2WQ_caqBiY,B,A,A,1,A,1,A,1,3,1,1,1,,B wobbles around a bit.,
087_youtube_ej93qIAlhXs,A,B,B,1,B,1,B,1,3,1,1,1,,,
088_youtube_D1ACUFvxAGQ,A,B,B,1,B,1,B,1,3,1,1,1,,Both are somewhat uneven.,
089_youtube_Ghg70fI6HLI,A,B,B,1,A,0,A,0,1,0,0,1,,"B is constantly a split second late but more stable overall, I'd say. A is more on the spot most of the time.",
090_youtube_2tmc8rJgxUI,A,B,B,1,B,1,B,1,3,1,1,1,,a bit better than A,
091_youtube_NCtzkaL2t_Y,A,B,B,1,A,0,B,1,2,0,1,1,,seems a bit more stable than B,
092_youtube_oh2LWWORoiM,A,B,B,1,A,0,A,0,1,0,0,1,,B is uneven,
093_youtube_C1lbOgBtE3w,A,B,B,1,B,1,B,1,3,1,1,1,,"The song appears to be quite difficult for beat trackers, even though humans feel a clear beat. Choosing B based on the final loud section.",
094_youtube_FrGARptU-kQ,B,A,A,1,A,1,A,1,3,1,1,1,,,
095_youtube_zO6D_BAuYCI,A,B,B,1,A,0,B,1,2,0,1,1,,,
096_youtube_XAYhNHhxN0A,A,B,B,1,B,1,B,1,3,1,1,1,,Impressed by the switch from 5/8 to 4/4. A lags a tiny bit.,
097_youtube_Nco69szMp0Y,B,A,A,1,B,0,A,1,2,0,1,1,,Tough choice; both struggle in different parts of the song. B is a bit more stable in the slow intro.,
098_youtube_MsduHmjQlgI,A,B,B,1,B,1,B,1,3,1,1,1,,"A also gets lost in the intro (can't really blame it much, though :) ).",
099_youtube_WHWqj6gKS9g,B,A,A,1,A,1,A,1,3,1,1,1,,Both struggle a bit with the loose time of the tune.,
100_youtube_QinABEXzutY,B,A,A,1,A,1,B,0,2,0,1,1,,both get confused by the 9/8 part,
101_youtube_O64IDCVI3eM,B,A,A,1,A,1,A,1,3,1,1,1,"What's up with B? Must be a machine failing to ""fix""",not perfect but B is completely lost,
102_youtube_4aiWPx8RU7I,A,B,B,1,B,1,B,1,3,1,1,1,,A is lost,
,,,,97.02970297,,82.17821782,,88.11881188,89.10891089,72.27722772,95.04950495,100,,,
